threshold,mapping_type,bucket,n,inverse_strength_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,1-1,"(0,0.1]",3,0.03637387030844972,36.666666666666664,0.4356749820567312,0.3333333432674408,0.566463153809309,0.699999988079071,0.2591371591371591,0.3
5,1-1,"(0.1,0.3]",3,0.13710514817385047,11.666666666666666,0.6469765674500239,0.699999988079071,0.26851852734883624,0.25,0.21064814814814814,0.1875
5,1-1,"(0.3,0.5]",1,0.4014084507042254,11.0,0.24675325410706656,0.24675325410706656,0.6666666865348816,0.6666666865348816,0.3333333333333333,0.3333333333333333
5,1-1,"(0.5,1.0]",2,0.8026790746117464,13.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1-N,zero,13,0.0,46.76923076923077,0.5628926108826648,0.5336927175521851,0.16323542766846144,0.1463414579629898,0.10932173518051445,0.07142857142857142
5,1-N,"(0,0.1]",6,0.022293810442126086,76.66666666666667,0.377514901970114,0.3309873938560486,0.4265152687827746,0.42213115096092224,0.26602600153631356,0.26111111111111107
5,1-N,"(0.1,0.3]",5,0.1748763859087668,23.0,0.5113417369978769,0.5137362650462559,0.2867003113031387,0.23255814611911774,0.20510823460582128,0.13953488372093023
5,1-N,"(0.3,0.5]",2,0.3483788923788814,55.0,0.3155416079929897,0.3155416079929897,0.3410256505012512,0.3410256505012512,0.18205128205128207,0.18205128205128207
5,M-1,zero,31,0.0,81.19354838709677,0.6101766605668354,0.5586080636296954,0.14694969241897907,0.1505376398563385,0.09288531309913943,0.08333333333333333
5,M-1,"(0,0.1]",19,0.01849762491670446,69.94736842105263,0.5071796345195376,0.5352805256843567,0.2793680068693663,0.20000000298023224,0.159747423340175,0.10784313725490197
5,M-1,"(0.1,0.3]",4,0.20287019528467792,35.25,0.4484500523124423,0.44572627757276806,0.3137419894337654,0.2868589758872986,0.234375,0.21875
5,M-1,"(0.3,0.5]",12,0.4018336091463553,35.333333333333336,0.4315139037512598,0.4610348024538585,0.37770819415648776,0.2928571552038193,0.25148024136484814,0.2028101802757158
5,M-1,"(0.5,1.0]",6,0.6730715381777133,12.666666666666666,0.5714413225650787,0.5086096908364978,0.24468954652547836,0.2549019679427147,0.1469226579520697,0.14583333333333331
5,M-N,zero,41,0.0,80.7560975609756,0.7192149691880787,0.7170542478561401,0.20444557042338135,0.1639784872531891,0.11561972627415788,0.10098522167487685
5,M-N,"(0,0.1]",21,0.02203433994532064,280.57142857142856,0.5253650943438212,0.5648011650357928,0.33631258457899094,0.25,0.197125319727124,0.12742382271468145
5,M-N,"(0.1,0.3]",11,0.1993061171439394,262.72727272727275,0.4396788140202498,0.43697479367256165,0.401150719685988,0.3181818127632141,0.21835674512433387,0.18181818181818182
5,M-N,"(0.3,0.5]",13,0.38519148455094043,146.23076923076923,0.60421051297869,0.4884792608874185,0.24501291261269495,0.2469879537820816,0.13970131768116503,0.11801242236024845
5,M-N,"(0.5,1.0]",8,0.7138618791019176,56.5,0.5471898216222014,0.5,0.15748511999845505,0.1696428582072258,0.09818922446412959,0.11607142857142858
10,1-1,"(0,0.1]",2,0.021714090134207425,50.5,0.4868458014513765,0.4868458014513765,0.499694736674428,0.499694736674428,0.2387057387057387,0.2387057387057387
10,1-1,"(0.1,0.3]",2,0.1255050505050505,14.0,0.7408730132239205,0.7408730132239205,0.125,0.125,0.09375,0.09375
10,1-1,"(0.3,0.5]",1,0.4014084507042254,11.0,0.24675325410706656,0.24675325410706656,0.6666666865348816,0.6666666865348816,0.3333333333333333,0.3333333333333333
10,1-1,"(0.5,1.0]",2,0.8026790746117464,13.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1-N,zero,11,0.0,54.09090909090909,0.5576068530609081,0.5336927175521851,0.16564186797900635,0.1463414579629898,0.10192568703151707,0.07142857142857142
10,1-N,"(0,0.1]",5,0.02230812808610686,90.6,0.33669134931904926,0.3298319322722299,0.4451516538858414,0.5,0.2747867573991318,0.3
10,1-N,"(0.1,0.3]",4,0.15664857973109125,26.75,0.5364985998187747,0.5192904898098537,0.20212538912892342,0.19175077229738235,0.13138529325727658,0.13226744186046513
10,1-N,"(0.3,0.5]",2,0.3483788923788814,55.0,0.3155416079929897,0.3155416079929897,0.3410256505012512,0.3410256505012512,0.18205128205128207,0.18205128205128207
10,M-1,zero,28,0.0,89.07142857142857,0.6253826631119057,0.5803218398775374,0.14483715946386969,0.1527881994843483,0.09569445378833294,0.08430232558139535
10,M-1,"(0,0.1]",18,0.017742739551114366,73.33333333333333,0.5159559276487147,0.5426402688026428,0.2671106739176644,0.20000000298023224,0.1477889468590736,0.10392156862745099
10,M-1,"(0.1,0.3]",4,0.20287019528467792,35.25,0.4484500523124423,0.44572627757276806,0.3137419894337654,0.2868589758872986,0.234375,0.21875
10,M-1,"(0.3,0.5]",10,0.39787191769149355,40.9,0.44757858834096365,0.49267400375434334,0.32547205686569214,0.2841614931821823,0.20177628963781777,0.17028985507246375
10,M-1,"(0.5,1.0]",3,0.649210591718024,18.333333333333332,0.6190731184823173,0.5306122388158526,0.10049019753932953,0.125,0.08088235294117647,0.11764705882352941
10,M-N,zero,39,0.0,84.43589743589743,0.7337127652142075,0.7310924274580819,0.1935624366458983,0.16049382090568542,0.10872843018565316,0.09876543209876543
10,M-N,"(0,0.1]",20,0.022697460451358606,294.2,0.5199369204895837,0.5605960658618383,0.3440373044461012,0.26500000059604645,0.1978906766225711,0.12535574697377908
10,M-N,"(0.1,0.3]",11,0.1993061171439394,262.72727272727275,0.4396788140202498,0.43697479367256165,0.401150719685988,0.3181818127632141,0.21835674512433387,0.18181818181818182
10,M-N,"(0.3,0.5]",13,0.38519148455094043,146.23076923076923,0.60421051297869,0.4884792608874185,0.24501291261269495,0.2469879537820816,0.13970131768116503,0.11801242236024845
10,M-N,"(0.5,1.0]",7,0.7176044272600842,63.42857142857143,0.5105638777723118,0.5,0.1595748301063265,0.1964285671710968,0.09180809326512769,0.08928571428571429
