threshold,metric,mapping_type,n,mean,median,p25,p75,min,max
5,hits_r,1-1,9,0.6105231002919258,0.699999988079071,0.3333333432674408,0.9211309552192688,0.052560647683484216,1.0
5,hits_r,1-N,26,0.49117250977964194,0.5148046399865831,0.3304096630641392,0.573129260114261,0.1754708311387471,0.8714285578046527
5,hits_r,M-1,72,0.5410070072652565,0.5259740331343242,0.44190668208258493,0.6062812464577811,0.14489796438387462,0.9964285748345512
5,hits_r,M-N,94,0.6126510948282426,0.6159328477723258,0.43923903150217875,0.77510490162032,0.06493506687028068,1.0
5,alpha_r,1-1,9,0.3524013033343686,0.25,0.0,0.6666666865348816,0.0,0.9444444179534912
5,alpha_r,1-N,26,0.261411731919417,0.21548542380332947,0.13033536449074745,0.34153006225824356,0.0,0.6857143044471741
5,alpha_r,M-1,72,0.237764391142668,0.20000000298023224,0.13125000521540642,0.3333333432674408,0.0,0.8333333134651184
5,alpha_r,M-N,94,0.2585376532342126,0.22608178108930588,0.12643985822796822,0.34985868632793427,0.0,1.0
5,delta_r,1-1,9,0.1936321394654728,0.1875,0.0,0.3333333333333333,0.0,0.4444444444444444
5,delta_r,1-N,26,0.16949931937293228,0.13224043715846995,0.07715633423180593,0.2451923076923077,0.0,0.5
5,delta_r,M-1,72,0.14932561935593391,0.12444690265486726,0.07592147435897437,0.20182926829268294,0.0,0.6666666666666666
5,delta_r,M-N,94,0.14769782567495673,0.12182902080162353,0.07116774111011609,0.18757736516357207,0.0,1.0
10,hits_r,1-1,7,0.6717415547796658,0.7817460383687701,0.4733766210930688,0.9605654776096344,0.052560647683484216,1.0
10,hits_r,1-N,22,0.48155498843301425,0.5148046399865831,0.3304096630641392,0.5441374629735947,0.1754708311387471,0.84375
10,hits_r,M-1,63,0.5543607414748664,0.5352805256843567,0.471856883593968,0.6241271325520107,0.14489796438387462,0.9964285748345512
10,hits_r,M-N,90,0.6142076335610851,0.6159328477723258,0.43923903150217875,0.77510490162032,0.06493506687028068,1.0
10,alpha_r,1-1,7,0.27372230855481966,0.05494505539536476,0.0,0.4583333432674408,0.0,0.9444444179534912
10,alpha_r,1-N,22,0.2517441670325669,0.18541324883699417,0.13033536449074745,0.33632172644138336,0.03846153989434242,0.6857143044471741
10,alpha_r,M-1,63,0.2170570113415283,0.19607843458652496,0.12916667014360428,0.2841614931821823,0.0,0.699999988079071
10,alpha_r,M-N,90,0.2571614523263027,0.22991544008255005,0.10456225089728832,0.34985868632793427,0.0,1.0
10,delta_r,1-1,7,0.14260640153497298,0.03296703296703297,0.0,0.26041666666666663,0.0,0.4444444444444444
10,delta_r,1-N,22,0.1538527309760917,0.1280737704918033,0.07715633423180593,0.21474358974358976,0.034482758620689655,0.4857142857142857
10,delta_r,M-1,63,0.1355167572180691,0.10784313725490197,0.0749198717948718,0.1830357142857143,0.0,0.38461538461538464
10,delta_r,M-N,90,0.1450991143196734,0.11900621118012422,0.07002469643959662,0.18757736516357207,0.0,1.0
