threshold,side,mapping_type,prediction_metric,n,spearman_rho
5,head,1-1,hits_r,9,0.5774109120414489
5,head,1-1,alpha_r,9,-0.32208016421988495
5,head,1-1,delta_r,9,-0.4068381021724862
5,head,1-N,hits_r,26,-0.43309994101950605
5,head,1-N,alpha_r,26,0.4760954693167781
5,head,1-N,delta_r,26,0.4574388631254367
5,head,M-1,hits_r,72,-0.3515375649211555
5,head,M-1,alpha_r,69,0.25217428251192675
5,head,M-1,delta_r,69,0.10156604618753162
5,head,M-N,hits_r,94,-0.32694750036061965
5,head,M-N,alpha_r,92,0.1891045268094015
5,head,M-N,delta_r,92,0.06282397837806115
5,tail,1-1,hits_r,9,0.5941474602165634
5,tail,1-1,alpha_r,9,-0.33903175181040524
5,tail,1-1,delta_r,9,-0.38474188203193277
5,tail,1-N,hits_r,26,-0.4093007411504446
5,tail,1-N,alpha_r,25,0.2605873500163616
5,tail,1-N,delta_r,25,-0.01623838086155369
5,tail,M-1,hits_r,72,-0.040183069846689415
5,tail,M-1,alpha_r,72,0.10665685560555659
5,tail,M-1,delta_r,72,0.053575324563215815
5,tail,M-N,hits_r,94,-0.2576000128303405
5,tail,M-N,alpha_r,94,0.19988130884320002
5,tail,M-N,delta_r,94,0.14143429684028766
10,head,1-1,hits_r,7,0.7387687194103584
10,head,1-1,alpha_r,7,-0.40768712416360564
10,head,1-1,delta_r,7,-0.40768712416360564
10,head,1-N,hits_r,22,-0.5093778891890328
10,head,1-N,alpha_r,22,0.5146963640128912
10,head,1-N,delta_r,22,0.4894492736934183
10,head,M-1,hits_r,63,-0.44310299306338957
10,head,M-1,alpha_r,63,0.35924795599985976
10,head,M-1,delta_r,63,0.17481032562341445
10,head,M-N,hits_r,90,-0.3490607628167858
10,head,M-N,alpha_r,88,0.21228668183154087
10,head,M-N,delta_r,88,0.11476578713340832
10,tail,1-1,hits_r,7,0.7387687194103584
10,tail,1-1,alpha_r,7,-0.3335621924974955
10,tail,1-1,delta_r,7,-0.3335621924974955
10,tail,1-N,hits_r,22,-0.5132693393562959
10,tail,1-N,alpha_r,22,0.3853809089739692
10,tail,1-N,delta_r,22,0.06308745152540894
10,tail,M-1,hits_r,63,-0.12185174556058607
10,tail,M-1,alpha_r,63,0.2024349231843002
10,tail,M-1,delta_r,63,0.15044089971358862
10,tail,M-N,hits_r,90,-0.27298723498365296
10,tail,M-N,alpha_r,90,0.17471666943097325
10,tail,M-N,delta_r,90,0.11540419755389965
