threshold,bucket,n,log_train_frequency_mean,train_frequency_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,low_frequency,79,4.93209098528681,142.79746835443038,10.810126582278482,0.6063429771866609,0.6122449040412903,0.2668944931130356,0.25806450843811035,0.18673051988690506,0.16666666666666666
0,mid_frequency,79,5.938608901347455,400.0253164556962,27.582278481012658,0.5595951415668415,0.5249498997415816,0.3372202621445664,0.29449473321437836,0.1961721719295602,0.1828358208955224
0,high_frequency,79,7.5808093035080715,2901.6708860759495,220.67088607594937,0.48857642330269685,0.48364231841904776,0.36242306327972656,0.3595438748598099,0.1872126135703373,0.18735730593607305
5,low_frequency,67,5.013366144901558,156.2089552238806,15.970149253731343,0.5952578082776018,0.5811688303947449,0.309504025212642,0.27272728085517883,0.20998922971884693,0.2
5,mid_frequency,67,6.118562448143193,481.02985074626866,38.985074626865675,0.5701617556991481,0.5259740224906376,0.35295661412346274,0.3214285671710968,0.20065146502781467,0.1791044776119403
5,high_frequency,67,7.756872721739547,3290.1194029850744,249.6417910447761,0.48125997033200546,0.46987952079091755,0.36823787630507443,0.3602052479982376,0.18915165958085983,0.1882679584120983
10,low_frequency,61,5.119990409369796,175.39344262295083,19.34426229508197,0.6166185053366409,0.6122449040412903,0.3011411053174343,0.2666666805744171,0.18992326474462992,0.17391304347826086
10,mid_frequency,60,6.25781510946496,548.3333333333334,45.46666666666667,0.5887622579932213,0.5332633129187992,0.3359862493506322,0.29449473321437836,0.18678495942508694,0.171777950310559
10,high_frequency,61,7.861831847005134,3534.7049180327867,268.0983606557377,0.470686923005821,0.46597567200660706,0.37053337395191194,0.3718561977148056,0.1887856402175746,0.19234404536862004
