threshold,inverse_metric,prediction_metric,n,spearman_rho
0,directional_inverse_strength,hits_r,224,-0.226321552934453
0,directional_inverse_strength,alpha_r,219,0.1591876450099288
0,directional_inverse_strength,delta_r,219,0.18582782912304543
0,mutual_inverse_strength,hits_r,224,-0.24153817425987228
0,mutual_inverse_strength,alpha_r,219,0.18773526839198545
0,mutual_inverse_strength,delta_r,219,0.18963483650088622
0,inverse_clarity,hits_r,224,-0.2582240105695538
0,inverse_clarity,alpha_r,219,0.21612230387662915
0,inverse_clarity,delta_r,219,0.21227716374693179
5,directional_inverse_strength,hits_r,201,-0.2758862197200721
5,directional_inverse_strength,alpha_r,200,0.21589045034286766
5,directional_inverse_strength,delta_r,200,0.25164493360513823
5,mutual_inverse_strength,hits_r,201,-0.25972281725828383
5,mutual_inverse_strength,alpha_r,200,0.21068599020006665
5,mutual_inverse_strength,delta_r,200,0.2164398121539882
5,inverse_clarity,hits_r,201,-0.2720153341160535
5,inverse_clarity,alpha_r,200,0.23293708795860504
5,inverse_clarity,delta_r,200,0.23078222416475033
10,directional_inverse_strength,hits_r,182,-0.286981403673581
10,directional_inverse_strength,alpha_r,181,0.22205216953040496
10,directional_inverse_strength,delta_r,181,0.2595283654187933
10,mutual_inverse_strength,hits_r,182,-0.2761095145380279
10,mutual_inverse_strength,alpha_r,181,0.21374247770388688
10,mutual_inverse_strength,delta_r,181,0.22899087866408432
10,inverse_clarity,hits_r,182,-0.2818766595444992
10,inverse_clarity,alpha_r,181,0.23712616491911115
10,inverse_clarity,delta_r,181,0.2426915367515492
