threshold,mapping_type,inverse_metric,prediction_metric,n,spearman_rho
5,1-1,directional_inverse_strength,hits_r,9,0.45769286494404704
5,1-1,directional_inverse_strength,alpha_r,9,-0.3046358979224712
5,1-1,directional_inverse_strength,delta_r,9,-0.2175970699446223
5,1-1,mutual_inverse_strength,hits_r,9,0.8341105233190395
5,1-1,mutual_inverse_strength,alpha_r,9,-0.5768648968724804
5,1-1,mutual_inverse_strength,delta_r,9,-0.4195381068163494
5,1-1,inverse_clarity,hits_r,9,0.32208016421988495
5,1-1,inverse_clarity,alpha_r,9,-0.06963106238227913
5,1-1,inverse_clarity,delta_r,9,0.05222329678670935
5,1-N,directional_inverse_strength,hits_r,26,-0.4694997909459686
5,1-N,directional_inverse_strength,alpha_r,26,0.4950756550441926
5,1-N,directional_inverse_strength,delta_r,26,0.6282849833700841
5,1-N,mutual_inverse_strength,hits_r,26,-0.4483083606931545
5,1-N,mutual_inverse_strength,alpha_r,26,0.4680383129974987
5,1-N,mutual_inverse_strength,delta_r,26,0.5749227916469706
5,1-N,inverse_clarity,hits_r,26,-0.4234632355691655
5,1-N,inverse_clarity,alpha_r,26,0.4629231401778539
5,1-N,inverse_clarity,delta_r,26,0.5734608137915428
5,M-1,directional_inverse_strength,hits_r,72,-0.3778053388785448
5,M-1,directional_inverse_strength,alpha_r,72,0.4417114555550208
5,M-1,directional_inverse_strength,delta_r,72,0.5410621820218895
5,M-1,mutual_inverse_strength,hits_r,72,-0.40696914215473784
5,M-1,mutual_inverse_strength,alpha_r,72,0.4756550905472951
5,M-1,mutual_inverse_strength,delta_r,72,0.5507175709722297
5,M-1,inverse_clarity,hits_r,72,-0.39884015101166104
5,M-1,inverse_clarity,alpha_r,72,0.4812034081682545
5,M-1,inverse_clarity,delta_r,72,0.5409113165695404
5,M-N,directional_inverse_strength,hits_r,94,-0.2948829618231782
5,M-N,directional_inverse_strength,alpha_r,93,0.056651869743304
5,M-N,directional_inverse_strength,delta_r,93,0.014461808195664594
5,M-N,mutual_inverse_strength,hits_r,94,-0.28395369612701615
5,M-N,mutual_inverse_strength,alpha_r,93,0.03732634480818428
5,M-N,mutual_inverse_strength,delta_r,93,-0.009978630553284077
5,M-N,inverse_clarity,hits_r,94,-0.3064718531690077
5,M-N,inverse_clarity,alpha_r,93,0.07071533155311717
5,M-N,inverse_clarity,delta_r,93,0.011620956504773114
10,1-1,directional_inverse_strength,hits_r,7,0.5188745216627708
10,1-1,directional_inverse_strength,alpha_r,7,-0.39405520311955033
10,1-1,directional_inverse_strength,delta_r,7,-0.23643312187173018
10,1-1,mutual_inverse_strength,hits_r,7,0.6357639532057509
10,1-1,mutual_inverse_strength,alpha_r,7,-0.3976213862437721
10,1-1,mutual_inverse_strength,delta_r,7,-0.23857283174626326
10,1-1,inverse_clarity,hits_r,7,0.2594372608313854
10,1-1,inverse_clarity,alpha_r,7,-0.03940552031195503
10,1-1,inverse_clarity,delta_r,7,0.03940552031195503
10,1-N,directional_inverse_strength,hits_r,22,-0.43865110867242196
10,1-N,directional_inverse_strength,alpha_r,22,0.48330060254004126
10,1-N,directional_inverse_strength,delta_r,22,0.6462109180029766
10,1-N,mutual_inverse_strength,hits_r,22,-0.4302039071298994
10,1-N,mutual_inverse_strength,alpha_r,22,0.46519945637749294
10,1-N,mutual_inverse_strength,delta_r,22,0.6160423410653959
10,1-N,inverse_clarity,hits_r,22,-0.4036555594248285
10,1-N,inverse_clarity,alpha_r,22,0.47847363023002837
10,1-N,inverse_clarity,delta_r,22,0.6232827995304153
10,M-1,directional_inverse_strength,hits_r,63,-0.3968884226279901
10,M-1,directional_inverse_strength,alpha_r,63,0.46502166854222193
10,M-1,directional_inverse_strength,delta_r,63,0.567632082530088
10,M-1,mutual_inverse_strength,hits_r,63,-0.429933140606704
10,M-1,mutual_inverse_strength,alpha_r,63,0.46813789675770157
10,M-1,mutual_inverse_strength,delta_r,63,0.5550412130572802
10,M-1,inverse_clarity,hits_r,63,-0.4112873757852548
10,M-1,inverse_clarity,alpha_r,63,0.4830907660174628
10,M-1,inverse_clarity,delta_r,63,0.5524275395539427
10,M-N,directional_inverse_strength,hits_r,90,-0.3391388364159667
10,M-N,directional_inverse_strength,alpha_r,89,0.09144061119367576
10,M-N,directional_inverse_strength,delta_r,89,0.06332528144397796
10,M-N,mutual_inverse_strength,hits_r,90,-0.3251178607097677
10,M-N,mutual_inverse_strength,alpha_r,89,0.0729688186509133
10,M-N,mutual_inverse_strength,delta_r,89,0.04079400627920358
10,M-N,inverse_clarity,hits_r,90,-0.33532539257843724
10,M-N,inverse_clarity,alpha_r,89,0.09711727850335418
10,M-N,inverse_clarity,delta_r,89,0.054391941192502076
