threshold,bucket,n,symmetry_score_mean,self_loop_count_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
0,zero,193,0.0,0.0,88.91709844559585,1032.3626943005181,0.5464656284215601,0.5208212988717216,0.326525761659824,0.31441646814346313,0.18984429888928409,0.1809090909090909
0,"(0,0.1]",13,0.01372000721698467,2.6153846153846154,203.84615384615384,2237.153846153846,0.48186310167823515,0.4355814393077578,0.42597483346859616,0.4201492518186569,0.25567917248296795,0.23253968253968255
0,"(0.1,0.3]",2,0.11268105121696281,18.5,11.0,164.5,0.9892857245036534,0.9892857245036534,0.02500000037252903,0.02500000037252903,0.025,0.025
0,"(0.3,1.0]",29,0.8032852377930921,53.58620689655172,21.82758620689655,1498.5172413793102,0.5642945479495185,0.6785714285714286,0.27918053453876857,0.19498607516288757,0.17051277848916654,0.12727272727272726
5,zero,171,0.0,0.0,100.14035087719299,1132.0526315789473,0.545640202022859,0.5214285765375409,0.3401407803741028,0.3214285671710968,0.19618723779119843,0.1875
5,"(0,0.1]",11,0.014608920858844536,2.6363636363636362,240.63636363636363,2596.3636363636365,0.4650627757821764,0.4081632707800184,0.4646998183293776,0.44029849767684937,0.27892273361778325,0.24285714285714285
5,"(0.1,0.3]",1,0.11486486486486487,17.0,20.0,148.0,0.9785714490073067,0.9785714490073067,0.05000000074505806,0.05000000074505806,0.05,0.05
5,"(0.3,1.0]",18,0.7980213654650716,86.33333333333333,34.27777777777778,2269.1111111111113,0.607155126120363,0.7123376556805202,0.31545830737142,0.23636363446712494,0.1959275498983822,0.12903225806451613
10,zero,155,0.0,0.0,109.66451612903226,1227.0967741935483,0.5521225331565754,0.5232919199126107,0.3348578213623935,0.31578946113586426,0.18583206479514403,0.18
10,"(0,0.1]",9,0.010186859556074103,1.1111111111111112,292.6666666666667,3128.3333333333335,0.4899898015317463,0.46299960783549715,0.4568553302023146,0.44029849767684937,0.2520166744217351,0.2222222222222222
10,"(0.1,0.3]",1,0.11486486486486487,17.0,20.0,148.0,0.9785714490073067,0.9785714490073067,0.05000000074505806,0.05000000074505806,0.05,0.05
10,"(0.3,1.0]",17,0.7964680645561917,91.41176470588235,35.88235294117647,2394.8823529411766,0.6284643709659576,0.7246753232819694,0.29350778367370367,0.21567485481500626,0.18733968843369775,0.1281524926686217
